air_pollution_index,wind_direction,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,time,Month,Year,day
31,150,278.59,0.0,0.0,90,Clouds,overcast clouds,545,02,October,2012,6
79,140,276.99,0.0,0.0,75,Clouds,broken clouds,411,04,October,2012,6
28,130,276.35,0.0,0.0,20,Clouds,few clouds,688,05,October,2012,6
110,130,275.4,0.0,0.0,1,Clear,sky is clear,1352,06,October,2012,6
171,140,275.17,0.0,0.0,1,Clear,sky is clear,2072,07,October,2012,6
148,140,274.99,0.0,0.0,1,Clear,sky is clear,3342,08,October,2012,6
97,140,275.09,0.0,0.0,40,Clouds,scattered clouds,4258,09,October,2012,6
46,140,276.88,0.0,0.0,20,Clouds,few clouds,4861,10,October,2012,6
180,194,278.04,0.0,0.0,20,Clouds,few clouds,5191,11,October,2012,6
269,248,279.08,0.0,0.0,40,Clouds,scattered clouds,5669,12,October,2012,6
280,239,280.12,0.0,0.0,75,Clouds,broken clouds,5074,13,October,2012,6
264,230,280.25,0.0,0.0,75,Clouds,broken clouds,5025,14,October,2012,6
149,240,280.0,0.0,0.0,75,Clouds,broken clouds,5153,15,October,2012,6
77,240,279.06,0.0,0.0,90,Clouds,overcast clouds,5024,16,October,2012,6
77,250,278.91,0.0,0.0,90,Clouds,overcast clouds,4779,17,October,2012,6
178,250,278.39,0.0,0.0,90,Clouds,overcast clouds,4362,18,October,2012,6
114,250,278.16,0.0,0.0,90,Clouds,overcast clouds,3860,19,October,2012,6
67,260,278.16,0.0,0.0,90,Clouds,overcast clouds,3160,20,October,2012,6
196,250,277.93,0.0,0.0,90,Clouds,overcast clouds,2992,21,October,2012,6
65,270,276.9,0.0,0.0,90,Clouds,overcast clouds,3202,22,October,2012,6
13,260,276.34,0.0,0.0,75,Clouds,broken clouds,1941,23,October,2012,6
26,270,275.73,0.0,0.0,90,Clouds,overcast clouds,323,03,October,2012,7
246,260,275.65,0.0,0.0,90,Clouds,overcast clouds,312,04,October,2012,7
259,270,275.51,0.0,0.0,75,Clouds,broken clouds,627,05,October,2012,7
33,280,275.05,0.0,0.0,90,Clouds,overcast clouds,1508,06,October,2012,7
125,290,274.77,0.0,0.0,90,Clouds,overcast clouds,1539,07,October,2012,7
247,280,274.77,0.0,0.0,75,Clouds,broken clouds,2232,08,October,2012,7
178,290,275.55,0.0,0.0,75,Clouds,broken clouds,4568,09,October,2012,7
297,280,276.24,0.0,0.0,75,Clouds,broken clouds,4624,10,October,2012,7
250,290,277.01,0.0,0.0,90,Clouds,overcast clouds,4529,11,October,2012,7
299,270,277.43,0.0,0.0,90,Clouds,overcast clouds,5139,12,October,2012,7
260,270,278.45,0.0,0.0,90,Clouds,overcast clouds,6640,13,October,2012,7
174,275,279.27,0.0,0.0,90,Clouds,overcast clouds,6589,14,October,2012,7
150,280,279.27,0.0,0.0,90,Clouds,overcast clouds,4429,15,October,2012,7
129,280,279.44,0.0,0.0,90,Clouds,overcast clouds,4329,16,October,2012,7
170,270,279.32,0.0,0.0,90,Clouds,overcast clouds,3833,17,October,2012,7
114,260,279.27,0.0,0.0,90,Clouds,overcast clouds,4015,18,October,2012,7
101,260,278.11,0.0,0.0,90,Clouds,overcast clouds,3382,19,October,2012,7
213,250,276.79,0.0,0.0,75,Clouds,broken clouds,2815,20,October,2012,7
49,280,275.73,0.0,0.0,90,Clouds,overcast clouds,2110,21,October,2012,7
63,260,274.88,0.0,0.0,75,Clouds,broken clouds,1555,22,October,2012,7
98,290,273.92,0.0,0.0,20,Clouds,few clouds,959,23,October,2012,7
11,290,272.62,0.0,0.0,20,Clouds,few clouds,336,01,October,2012,8
106,280,271.78,0.0,0.0,1,Clear,sky is clear,265,02,October,2012,8
65,310,271.05,0.0,0.0,1,Clear,sky is clear,314,03,October,2012,8
133,300,270.63,0.0,0.0,1,Clear,sky is clear,779,04,October,2012,8
194,290,270.33,0.0,0.0,1,Clear,sky is clear,2571,05,October,2012,8
134,290,269.61,0.0,0.0,20,Clouds,few clouds,5563,06,October,2012,8
273,280,270.01,0.0,0.0,20,Clouds,few clouds,6676,07,October,2012,8
200,300,271.23,0.0,0.0,20,Clouds,few clouds,5966,08,October,2012,8
224,310,273.71,0.0,0.0,20,Clouds,few clouds,4832,09,October,2012,8
230,300,276.77,0.0,0.0,20,Clouds,few clouds,4395,10,October,2012,8
208,300,279.47,0.0,0.0,20,Clouds,few clouds,4411,11,October,2012,8
183,300,279.84,0.0,0.0,1,Clear,sky is clear,4648,12,October,2012,8
226,300,282.34,0.0,0.0,40,Clouds,scattered clouds,4602,13,October,2012,8
215,300,282.94,0.0,0.0,40,Clouds,scattered clouds,5125,14,October,2012,8
76,310,283.48,0.0,0.0,1,Clear,sky is clear,5502,15,October,2012,8
183,320,284.33,0.0,0.0,1,Clear,sky is clear,5979,16,October,2012,8
87,330,284.48,0.0,0.0,40,Clouds,scattered clouds,5663,17,October,2012,8
51,320,284.23,0.0,0.0,40,Clouds,scattered clouds,4259,18,October,2012,8
73,330,281.99,0.0,0.0,20,Clouds,few clouds,3069,19,October,2012,8
208,330,279.81,0.0,0.0,1,Clear,sky is clear,2378,20,October,2012,8
99,340,279.35,0.0,0.0,1,Clear,sky is clear,2030,21,October,2012,8
16,340,278.9,0.0,0.0,1,Clear,sky is clear,1400,22,October,2012,8
272,330,278.46,0.0,0.0,1,Clear,sky is clear,917,23,October,2012,8
173,350,277.27,0.0,0.0,1,Clear,sky is clear,302,01,October,2012,9
125,310,277.47,0.0,0.0,1,Clear,sky is clear,251,02,October,2012,9
22,320,276.97,0.0,0.0,20,Clouds,few clouds,798,04,October,2012,9
29,350,276.52,0.0,0.0,40,Clouds,scattered clouds,2678,05,October,2012,9
210,350,276.6,0.0,0.0,40,Clouds,scattered clouds,5733,06,October,2012,9
263,360,277.31,0.0,0.0,75,Clouds,broken clouds,6449,07,October,2012,9
95,290,278.38,0.0,0.0,90,Clouds,overcast clouds,5765,08,October,2012,9
189,270,279.35,0.0,0.0,90,Clouds,overcast clouds,5599,09,October,2012,9
246,250,281.37,0.0,0.0,90,Clouds,overcast clouds,4534,10,October,2012,9
70,0,283.11,0.0,0.0,90,Clouds,overcast clouds,4691,11,October,2012,9
224,250,284.08,0.0,0.0,75,Clouds,broken clouds,5067,12,October,2012,9
224,0,285.14,0.0,0.0,75,Clouds,broken clouds,5030,13,October,2012,9
99,0,286.35,0.0,0.0,90,Clouds,overcast clouds,5300,14,October,2012,9
105,220,287.23,0.0,0.0,100,Rain,light rain,5777,15,October,2012,9
70,200,288.53,0.0,0.0,90,Clouds,overcast clouds,6349,16,October,2012,9
65,200,290.37,0.0,0.0,90,Clouds,overcast clouds,6127,17,October,2012,9
229,200,290.13,0.0,0.0,90,Clouds,overcast clouds,4460,18,October,2012,9
103,230,288.86,0.0,0.0,75,Clouds,broken clouds,3418,19,October,2012,9
49,0,287.36,0.0,0.0,90,Clouds,overcast clouds,2775,20,October,2012,9
257,220,285.11,0.0,0.0,90,Clouds,overcast clouds,2306,21,October,2012,9
226,230,283.46,0.0,0.0,90,Clouds,overcast clouds,1846,22,October,2012,9
163,230,282.45,0.0,0.0,90,Clouds,overcast clouds,947,23,October,2012,9
249,230,281.78,0.0,0.0,90,Clouds,overcast clouds,332,01,October,2012,10
199,220,281.09,0.0,0.0,75,Clouds,broken clouds,261,02,October,2012,10
155,210,281.17,0.0,0.0,90,Clouds,overcast clouds,361,03,October,2012,10
19,210,281.25,0.0,0.0,92,Clear,sky is clear,5875,06,October,2012,10
139,220,281.25,0.0,0.0,99,Rain,light rain,6793,07,October,2012,10
69,220,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,6793,07,October,2012,10
184,170,280.1,0.0,0.0,99,Rain,light rain,6283,08,October,2012,10
82,150,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,6283,08,October,2012,10
248,160,279.61,0.0,0.0,99,Rain,light rain,5680,09,October,2012,10
188,170,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,5680,09,October,2012,10
76,170,279.67,0.0,0.0,99,Clear,sky is clear,4632,10,October,2012,10
90,130,280.19,0.0,0.0,1,Clear,sky is clear,4887,11,October,2012,10
86,140,282.09,0.0,0.0,75,Clouds,broken clouds,5030,12,October,2012,10
257,200,282.26,0.0,0.0,75,Clouds,broken clouds,5067,13,October,2012,10
204,195,282.05,0.0,0.0,90,Clouds,overcast clouds,5227,14,October,2012,10
77,190,281.59,0.0,0.0,90,Clouds,overcast clouds,5610,15,October,2012,10
65,190,281.23,0.0,0.0,81,Clear,sky is clear,6286,16,October,2012,10
108,180,282.6,0.0,0.0,81,Clear,sky is clear,4775,18,October,2012,10
279,190,282.6,0.0,0.0,81,Clear,sky is clear,3340,19,October,2012,10
85,170,282.6,0.0,0.0,81,Clear,sky is clear,3013,20,October,2012,10
75,170,282.6,0.0,0.0,81,Clear,sky is clear,2603,21,October,2012,10
42,150,282.6,0.0,0.0,81,Clear,sky is clear,1910,22,October,2012,10
278,180,282.6,0.0,0.0,81,Clear,sky is clear,1037,23,October,2012,10
39,180,273.9,0.0,0.0,1,Clear,sky is clear,347,01,October,2012,11
35,170,274.4,0.0,0.0,75,Clouds,broken clouds,350,03,October,2012,11
219,180,274.05,0.0,0.0,75,Clouds,broken clouds,850,04,October,2012,11
278,200,273.71,0.0,0.0,40,Clouds,scattered clouds,2791,05,October,2012,11
132,200,272.66,0.0,0.0,1,Clear,sky is clear,5809,06,October,2012,11
42,210,272.65,0.0,0.0,1,Clear,sky is clear,6798,07,October,2012,11
152,260,272.52,0.0,0.0,1,Clear,sky is clear,6304,08,October,2012,11
154,280,275.19,0.0,0.0,20,Clouds,few clouds,5291,09,October,2012,11
271,280,275.34,0.0,0.0,1,Clear,sky is clear,4638,10,October,2012,11
14,300,284.1,0.0,0.0,50,Clear,sky is clear,5557,14,October,2012,11
170,300,284.1,0.0,0.0,50,Clear,sky is clear,5818,15,October,2012,11
153,290,283.78,0.0,0.0,75,Clouds,broken clouds,6272,16,October,2012,11
161,230,283.52,0.0,0.0,75,Clouds,broken clouds,5944,17,October,2012,11
14,220,283.32,0.0,0.0,90,Clouds,overcast clouds,4949,18,October,2012,11
204,220,282.06,0.0,0.0,90,Clouds,overcast clouds,3511,19,October,2012,11
134,220,281.95,0.0,0.0,90,Clouds,overcast clouds,3039,20,October,2012,11
85,253,281.81,0.0,0.0,90,Clouds,overcast clouds,2679,21,October,2012,11
178,286,282.16,0.0,0.0,90,Clouds,overcast clouds,2094,22,October,2012,11
226,320,282.53,0.0,0.0,90,Clouds,overcast clouds,1284,23,October,2012,11
122,310,284.64,0.0,0.0,90,Clouds,overcast clouds,410,01,October,2012,12
285,280,284.61,0.0,0.0,90,Clouds,overcast clouds,331,02,October,2012,12
187,217,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,372,03,October,2012,12
134,260,282.26,0.0,0.0,72,Rain,light rain,739,04,October,2012,12
208,270,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2561,05,October,2012,12
147,270,278.53,0.0,0.0,75,Clouds,broken clouds,5586,06,October,2012,12
227,290,277.64,0.0,0.0,75,Clouds,broken clouds,6992,07,October,2012,12
177,270,277.9,0.0,0.0,90,Clouds,overcast clouds,5860,08,October,2012,12
143,313,278.18,0.0,0.0,90,Clouds,overcast clouds,5230,09,October,2012,12
170,305,279.29,0.0,0.0,75,Clouds,broken clouds,4864,10,October,2012,12
281,297,280.45,0.0,0.0,75,Clouds,broken clouds,5146,11,October,2012,12
289,297,280.95,0.0,0.0,40,Clouds,scattered clouds,5526,12,October,2012,12
257,297,281.74,0.0,0.0,40,Clouds,scattered clouds,5383,13,October,2012,12
231,297,281.84,0.0,0.0,75,Clouds,broken clouds,5758,14,October,2012,12
181,297,282.45,0.0,0.0,75,Clouds,broken clouds,5889,15,October,2012,12
268,297,282.2,0.0,0.0,75,Clouds,broken clouds,6057,16,October,2012,12
265,288,281.54,0.0,0.0,40,Clouds,scattered clouds,6028,17,October,2012,12
177,280,280.21,0.0,0.0,20,Clouds,few clouds,5257,18,October,2012,12
129,285,282.2,0.0,0.0,56,Clear,sky is clear,1897,23,October,2012,12
256,300,272.06,0.0,0.0,1,Clear,sky is clear,769,01,October,2012,13
214,280,270.99,0.0,0.0,1,Clear,sky is clear,570,02,October,2012,13
76,260,270.29,0.0,0.0,20,Clouds,few clouds,413,03,October,2012,13
194,260,269.48,0.0,0.0,1,Clear,sky is clear,399,04,October,2012,13
117,260,269.27,0.0,0.0,1,Clear,sky is clear,740,05,October,2012,13
174,270,268.91,0.0,0.0,1,Clear,sky is clear,1420,06,October,2012,13
130,240,268.98,0.0,0.0,75,Clouds,broken clouds,2220,07,October,2012,13
93,244,269.23,0.0,0.0,40,Clouds,scattered clouds,3479,08,October,2012,13
270,248,272.61,0.0,0.0,40,Clouds,scattered clouds,4546,09,October,2012,13
116,252,276.78,0.0,0.0,20,Clouds,few clouds,4579,10,October,2012,13
132,257,279.22,0.0,0.0,1,Clear,sky is clear,4438,11,October,2012,13
82,257,280.35,0.0,0.0,1,Clear,sky is clear,4623,12,October,2012,13
163,260,281.81,0.0,0.0,1,Clear,sky is clear,4440,13,October,2012,13
298,250,283.05,0.0,0.0,1,Clear,sky is clear,4495,14,October,2012,13
106,220,283.96,0.0,0.0,1,Clear,sky is clear,4483,15,October,2012,13
287,140,284.53,0.0,0.0,1,Clear,sky is clear,4591,16,October,2012,13
263,130,284.44,0.0,0.0,1,Clear,sky is clear,4477,17,October,2012,13
91,120,283.64,0.0,0.0,1,Clear,sky is clear,4221,18,October,2012,13
26,150,281.85,0.0,0.0,20,Clouds,few clouds,3672,19,October,2012,13
189,160,281.38,0.0,0.0,1,Clear,sky is clear,3015,20,October,2012,13
225,190,281.84,0.0,0.0,75,Clouds,broken clouds,2769,21,October,2012,13
31,210,282.23,0.0,0.0,90,Clouds,overcast clouds,2875,22,October,2012,13
245,220,282.18,0.0,0.0,90,Clouds,overcast clouds,1931,23,October,2012,13
295,270,282.54,0.0,0.0,90,Clouds,overcast clouds,870,01,October,2012,14
216,320,282.58,0.0,0.0,90,Clouds,overcast clouds,654,02,October,2012,14
264,350,282.23,0.0,0.0,90,Clouds,overcast clouds,364,03,October,2012,14
20,360,282.08,0.0,0.0,90,Clouds,overcast clouds,262,04,October,2012,14
43,350,282.23,0.0,0.0,90,Clouds,overcast clouds,505,05,October,2012,14
130,350,282.24,0.0,0.0,90,Clouds,overcast clouds,861,06,October,2012,14
245,360,282.24,0.0,0.0,90,Clouds,overcast clouds,1132,07,October,2012,14
192,330,282.24,0.0,0.0,57,Mist,mist,1797,08,October,2012,14
87,330,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2685,09,October,2012,14
132,350,282.43,0.0,0.0,57,Mist,mist,2685,09,October,2012,14
285,330,282.43,0.0,0.0,57,Haze,haze,2685,09,October,2012,14
217,320,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,3370,10,October,2012,14
195,320,282.33,0.0,0.0,57,Mist,mist,3370,10,October,2012,14
26,350,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,3662,11,October,2012,14
299,330,282.82,0.0,0.0,57,Mist,mist,3662,11,October,2012,14
263,328,283.33,0.0,0.0,57,Mist,mist,4076,12,October,2012,14
108,327,283.33,0.0,0.0,57,Rain,light rain,4076,12,October,2012,14
156,326,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,4076,12,October,2012,14
123,325,283.75,0.0,0.0,93,Rain,light rain,4128,13,October,2012,14
106,324,283.75,0.0,0.0,93,Mist,mist,4128,13,October,2012,14
179,0,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,4128,13,October,2012,14
208,340,284.09,0.0,0.0,93,Mist,mist,4358,14,October,2012,14
186,310,284.09,0.0,0.0,93,Rain,light rain,4358,14,October,2012,14
133,0,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,4358,14,October,2012,14
166,0,284.55,0.0,0.0,93,Mist,mist,4342,15,October,2012,14
104,0,284.55,0.0,0.0,93,Rain,light rain,4342,15,October,2012,14
295,0,284.68,0.0,0.0,93,Mist,mist,4234,16,October,2012,14
108,0,284.64,0.0,0.0,93,Rain,light rain,4271,17,October,2012,14
244,0,284.64,0.0,0.0,93,Mist,mist,4271,17,October,2012,14
199,0,284.4,0.0,0.0,93,Mist,mist,4080,18,October,2012,14
282,150,284.17,0.0,0.0,93,Mist,mist,3453,19,October,2012,14
27,130,284.03,0.0,0.0,93,Mist,mist,2718,20,October,2012,14
183,0,283.58,0.0,0.0,93,Mist,mist,2439,21,October,2012,14
129,160,283.04,0.0,0.0,93,Mist,mist,1819,22,October,2012,14
265,140,281.95,0.0,0.0,93,Mist,mist,1002,23,October,2012,14
105,170,281.95,0.0,0.0,93,Fog,fog,1002,23,October,2012,14
202,160,281.57,0.0,0.0,85,Fog,fog,303,01,October,2012,15
242,150,281.42,0.0,0.0,85,Fog,fog,239,02,October,2012,15
55,0,281.29,0.0,0.0,85,Mist,mist,335,03,October,2012,15
245,140,281.29,0.0,0.0,85,Fog,fog,335,03,October,2012,15
58,140,281.02,0.0,0.0,85,Mist,mist,810,04,October,2012,15
171,140,281.02,0.0,0.0,85,Fog,fog,810,04,October,2012,15
294,160,280.82,0.0,0.0,85,Mist,mist,2606,05,October,2012,15
143,150,280.82,0.0,0.0,85,Fog,fog,2606,05,October,2012,15
266,170,280.39,0.0,0.0,85,Mist,mist,5714,06,October,2012,15
192,170,280.19,0.0,0.0,100,Mist,mist,6798,07,October,2012,15
36,160,279.82,0.0,0.0,100,Mist,mist,6114,08,October,2012,15
149,160,279.75,0.0,0.0,100,Mist,mist,5094,09,October,2012,15
269,170,280.07,0.0,0.0,100,Mist,mist,4473,10,October,2012,15
89,170,280.32,0.0,0.0,90,Clouds,overcast clouds,4529,11,October,2012,15
189,160,281.72,0.0,0.0,100,Clear,sky is clear,4823,12,October,2012,15
276,140,284.01,0.0,0.0,40,Clouds,scattered clouds,4872,13,October,2012,15
61,110,285.88,0.0,0.0,1,Clear,sky is clear,5238,14,October,2012,15
93,120,286.87,0.0,0.0,1,Clear,sky is clear,5584,15,October,2012,15
165,0,287.6,0.0,0.0,20,Clouds,few clouds,6246,16,October,2012,15
113,60,287.27,0.0,0.0,20,Clouds,few clouds,5957,17,October,2012,15
106,70,286.18,0.0,0.0,20,Clouds,few clouds,4535,18,October,2012,15
134,90,285.2,0.0,0.0,75,Clouds,broken clouds,3234,19,October,2012,15
192,30,284.68,0.0,0.0,75,Clouds,broken clouds,2677,20,October,2012,15
63,30,284.49,0.0,0.0,90,Clouds,overcast clouds,2077,21,October,2012,15
173,10,283.54,0.0,0.0,20,Clouds,few clouds,1380,22,October,2012,15
158,30,282.33,0.0,0.0,75,Clouds,broken clouds,927,23,October,2012,15
96,10,279.87,0.0,0.0,1,Clear,sky is clear,324,01,October,2012,16
171,10,278.93,0.0,0.0,1,Clear,sky is clear,257,02,October,2012,16
177,40,277.91,0.0,0.0,1,Clear,sky is clear,354,03,October,2012,16
144,10,277.21,0.0,0.0,1,Clear,sky is clear,769,04,October,2012,16
99,20,276.61,0.0,0.0,1,Clear,sky is clear,2769,05,October,2012,16
90,20,276.11,0.0,0.0,1,Clear,sky is clear,5789,06,October,2012,16
240,20,274.81,0.0,0.0,20,Clouds,few clouds,7055,07,October,2012,16
98,360,274.99,0.0,0.0,20,Clouds,few clouds,6408,08,October,2012,16
11,360,277.91,0.0,0.0,20,Clouds,few clouds,5254,09,October,2012,16
231,340,280.71,0.0,0.0,20,Clouds,few clouds,4547,10,October,2012,16
26,360,283.85,0.0,0.0,20,Clouds,few clouds,4784,11,October,2012,16
205,350,286.01,0.0,0.0,40,Clouds,scattered clouds,5015,12,October,2012,16
129,360,286.31,0.0,0.0,1,Clear,sky is clear,5057,13,October,2012,16
251,340,288.15,0.0,0.0,75,Clouds,broken clouds,5430,14,October,2012,16
183,340,289.15,0.0,0.0,75,Clouds,broken clouds,5813,15,October,2012,16
41,22,288.99,0.0,0.0,75,Clouds,broken clouds,6496,16,October,2012,16
284,330,288.86,0.0,0.0,75,Clouds,broken clouds,6429,17,October,2012,16
204,330,288.16,0.0,0.0,90,Clouds,overcast clouds,5142,18,October,2012,16
13,320,287.28,0.0,0.0,68,Rain,light rain,3311,19,October,2012,16
290,340,287.04,0.0,0.0,90,Clouds,overcast clouds,2777,20,October,2012,16
30,320,286.9,0.0,0.0,90,Clouds,overcast clouds,2331,21,October,2012,16
247,310,287.09,0.0,0.0,90,Clouds,overcast clouds,1767,22,October,2012,16
102,320,287.09,0.0,0.0,90,Clouds,overcast clouds,1093,23,October,2012,16
122,290,286.93,0.0,0.0,75,Clouds,broken clouds,333,01,October,2012,17
230,330,286.93,0.0,0.0,90,Clouds,overcast clouds,267,02,October,2012,17
107,300,287.07,0.0,0.0,90,Clouds,overcast clouds,358,03,October,2012,17
151,300,286.56,0.0,0.0,75,Clouds,broken clouds,777,04,October,2012,17
159,320,285.91,0.0,0.0,90,Clouds,overcast clouds,2732,05,October,2012,17
57,320,285.29,0.0,0.0,90,Clouds,overcast clouds,5637,06,October,2012,17
60,310,284.92,0.0,0.0,75,Clouds,broken clouds,5564,07,October,2012,17
217,290,285.35,0.0,0.0,75,Clouds,broken clouds,6274,08,October,2012,17
